element #,waveln. At elem cent.
353,670.0443097
354,670.7557956
355,671.4667062
356,672.1770395
357,672.8867935
358,673.595966
359,674.304555
360,675.0125584
361,675.7199743
362,676.4268006
363,677.1330352
364,677.8386762
365,678.5437215
366,679.248169
367,679.9520168
368,680.6552629
369,681.3579053
370,682.0599419
371,682.7613707
372,683.4621899
373,684.1623973
374,684.861991
375,685.5609691
376,686.2593296
377,686.9570704
378,687.6541897
379,688.3506855
380,689.0465558
381,689.7417987
382,690.4364122
383,691.1303945
384,691.8237436
385,693.1268262
386,693.8183397
387,694.5092125
388,695.1994428
389,695.8890286
390,696.5779681
391,697.2662594
392,697.9539005
393,698.6408896
394,699.3272249
395,700.0129045
396,700.6979265
397,701.382289
398,702.0659903
399,702.7490284
400,703.4314015
401,704.1131079
402,704.7941456
403,705.4745129
404,706.1542079
405,706.8332289
406,707.511574
407,708.1892414
408,708.8662293
409,709.542536
410,710.2181597
411,710.8930986
412,711.5673509
413,712.2409148
414,712.9137887
415,713.5859708
416,714.2574592
417,714.9282524
418,715.5983485
419,716.2677458
420,716.9364426
421,717.6044372
422,718.2717279
423,718.938313
424,719.6041907
425,720.2693595
426,720.9338175
427,721.5975632
428,722.2605949
429,722.9229109
430,723.5845095
431,724.2453891
432,724.905548
433,725.5649847
434,726.2236974
435,726.8816846
436,727.5389447
437,728.1954759
438,728.8512768
439,729.5063456
440,730.1606809
441,730.814281
442,731.4671444
443,732.1192694
444,732.7706546
445,733.4212983
446,734.071199
447,734.7203552
448,735.3687652
449,736.0164277
450,736.663341
451,737.3095036
452,737.954914
453,738.5995707
454,739.2434722
455,739.8866171
456,740.5290037
457,741.1706307
458,741.8114966
459,742.4515999
460,743.0909391
461,743.7295128
462,744.3673196
463,745.0043579
464,745.6406265
465,746.2761238
466,746.9108484
467,747.5447989
468,748.177974
469,748.8103721
470,749.441992
471,750.0728323
472,750.7028915
473,751.3321683
474,751.9606613
475,752.5883693
476,753.2152907
477,753.8414244
478,754.4667689
479,755.0913229
480,755.7150852
481,756.3380543
482,756.9602291
483,757.5816081
484,758.2021902
485,758.821974
486,759.4409582
487,760.0591416
488,760.6765229
489,761.2931009
490,761.9088743
491,762.5238418
492,763.1380023
493,763.7513545
494,764.3638972
495,764.9756292
496,765.5865493
497,766.1966562
498,766.8059489
499,767.414426
500,768.0220865
501,768.6289292
502,769.2349529
503,769.8401564
504,770.4445386
505,771.0480984
506,771.6508347
507,772.2527463
508,772.853832
509,773.4540909
510,774.0535218
511,774.6521236
512,775.2498952
513,775.8468355
514,776.4429435
515,777.0382181
516,777.6326583
517,778.2262629
518,778.819031
519,779.4109616
520,780.0020535
521,780.5923058
522,781.1817175
523,781.7702875
524,782.3580149
525,782.9448987
526,783.5309379
527,784.1161315
528,784.7004786
529,785.2839782
530,785.8666293
531,786.448431
532,787.0293824
533,787.6094826
534,788.1887305
535,788.7671254
536,789.3446662
537,789.9213522
538,790.4971824
539,791.0721559
540,791.6462718
541,792.2195294
542,792.7919276
543,793.3634658
544,793.9341429
545,794.5039583
546,795.072911
547,795.6410002
548,796.2082251
549,796.774585
550,797.340079
551,797.9047063
552,798.4684661
553,799.0313577
554,799.5933802
555,800.154533
556,800.7148153
557,801.2742262
558,801.8327652
559,802.3904314
560,802.9472241
561,803.5031426
562,804.0581863
563,804.6123543
564,805.1656461
565,805.7180608
566,806.2695979
567,806.8202566
568,807.3700364
569,807.9189365
570,808.4669563
571,809.0140951
572,809.5603524
573,810.1057274
574,810.6502197
575,811.1938284
576,811.7365532
577,812.2783933
578,812.8193482
579,813.3594172
580,813.8985999
581,814.4368957
582,814.9743039
583,815.5108241
584,816.0464556
585,816.5811981
586,817.1150508
587,817.6480134
588,818.1800853
589,818.7112659
590,819.2415548
591,819.7709516
592,820.2994556
593,820.8270665
594,821.3537838
595,821.8796069
596,822.4045355
597,822.9285691
598,823.4517073
599,823.9739496
600,824.4952955
601,825.0157448
602,825.535297
603,826.0539516
604,826.5717083
605,827.0885667
606,827.6045264
607,828.119587
608,828.6337482
609,829.1470096
610,829.6593708
611,830.1708316
612,830.6813915
613,831.1910502
614,831.6998075
615,832.207663
616,832.7146164
617,833.2206674
618,833.7258156
619,834.2300609
620,834.7334029
621,835.2358414
622,835.7373761
623,836.2380067
624,836.737733
625,837.2365547
626,837.7344716
627,838.2314835
628,838.7275902
629,839.2227914
630,839.7170869
631,840.2104765
632,840.7029601
633,841.1945374
634,841.6852083
635,842.1749726
636,842.6638301
637,843.1517806
638,843.6388241
639,844.1249604
640,844.6101892
641,845.0945106
642,845.5779244
643,846.0604304
644,846.5420285
645,847.0227187
646,847.5025009
647,847.9813749
648,848.4593406
649,848.9363981
650,849.4125472
651,849.8877878
652,850.36212
653,850.8355436
654,851.3080587
655,851.7796651
656,852.2503629
657,852.720152
658,853.1890324
659,853.6570041
660,854.1240671
661,854.5902215
662,855.0554671
663,855.5198041
664,855.9832325
665,856.4457522
666,856.9073634
667,857.368066
668,857.8278602
669,858.286746
670,858.7447234
671,859.2017925
672,859.6579534
673,860.1132062
674,860.567551
675,861.0209878
676,861.4735168
677,861.9251381
678,862.3758518
679,862.825658
680,863.2745568
681,863.7225484
682,864.1696329
683,864.6158105
684,865.0610813
685,865.5054454
686,865.9489031
687,866.3914546
688,866.8330999
689,867.2738393
690,867.713673
691,868.1526011
692,868.5906239
693,869.0277416
694,869.4639544
695,869.8992624
696,870.3336661
697,870.7671655
698,871.1997609
699,871.6314526
700,872.0622408
701,872.4921258
702,872.9211078
703,873.3491871
704,873.776364
705,874.2026388
706,874.6280117
707,875.052483
708,875.4760531
709,875.8987222
710,876.3204907
711,876.7413589
712,877.161327
713,877.5803955
714,877.9985647
715,878.4158348
716,878.8322063
717,879.2476794
718,879.6622546
719,880.0759323
720,880.4887127
721,880.9005962
722,881.3115833
723,881.7216743
724,882.1308697
725,882.5391697
726,882.9465748
727,883.3530854
728,883.758702
729,884.1634248
730,884.5672545
731,884.9701913
732,885.3722358
733,885.7733883
734,886.1736493
735,886.5730193
736,886.9714987
737,887.369088
738,887.7657876
739,888.161598
740,888.5565197
741,888.9505532
742,889.3436989
743,889.7359574
744,890.1273291
745,890.5178146
746,890.9074143
747,891.2961287
748,891.6839585
749,892.070904
750,892.4569659
751,892.8421446
752,893.2264408
753,893.6098548
754,893.9923874
755,894.374039
756,894.7548102
757,895.1347015
758,895.5137136
759,895.8918469
760,896.2691021
761,896.6454798
762,897.0209805
763,897.3956049
764,897.7693534
765,898.1422268
766,898.5142256
767,898.8853505
768,899.255602
